,TOP,JG,MID,AD,SUP,result
Game1,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game2,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game3,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game4,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game5,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game6,LetMe,Karsa,Xiaohu,Uzi,Ming,Lose
Game7,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Lose
Game8,Zz1tai,Karsa,Xiaohu,Able,Ming,Lose
Game9,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game10,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game11,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game12,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game13,Zz1tai,Karsa,Xiaohu,Able,Ming,Lose
Game14,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game15,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game16,Zz1tai,Karsa,Xiaohu,Able,Ming,Win
Game17,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game18,LetMe,Karsa,Xiaohu,Uzi,Ming,Lose
Game19,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game20,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game21,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game22,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game23,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game24,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game25,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game26,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game27,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game28,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game29,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game30,LetMe,Mlxg,Xiaohu,Uzi,Ming,Lose
Game31,LetMe,Mlxg,Xiaohu,Uzi,Ming,Lose
Game32,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game33,LetMe,Mlxg,Xiaohu,Uzi,Ming,Lose
Game34,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game35,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Lose
Game36,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game37,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game38,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game39,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Lose
Game40,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game41,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game42,LetMe,Mlxg,Xiaohu,Uzi,Ming,Lose
Game43,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game44,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game45,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game46,LetMe,Mlxg,Xiaohu,Uzi,Ming,Lose
Game47,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game48,LetMe,Mlxg,Xiaohu,Uzi,Ming,Win
Game49,Zz1tai,Mlxg,Xiaohu,Uzi,Ming,Win
Game50,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game51,LetMe,Karsa,Xiaohu,Uzi,Ming,Win
Game52,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Win
Game53,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Win
Game54,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Win
Game55,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Lose
Game56,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Lose
Game57,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Win
Game58,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Win
Game59,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Lose
Game60,Zz1tai,Karsa,Xiaohu,Uzi,Ming,Lose
